icd10_code,description,measure
A1801,Tuberculosis of spine,CMR_AUTOIMMUNE
A1802,Tuberculous arthritis of other joints,CMR_AUTOIMMUNE
A1884,Tuberculosis of heart,CMR_VALVE
A3282,Listerial endocarditis,CMR_VALVE
A3951,Meningococcal endocarditis,CMR_VALVE
A3984,Postmeningococcal arthritis,CMR_AUTOIMMUNE
A5145,Secondary syphilitic hepatitis,CMR_LIVER_MLD
A5200,"Cardiovascular syphilis, unspecified",CMR_PERIVASC
A5201,Syphilitic aneurysm of aorta,CMR_PERIVASC
A5202,Syphilitic aortitis,CMR_PERIVASC
A5203,Syphilitic endocarditis,CMR_VALVE
A5209,Other cardiovascular syphilis,CMR_PERIVASC
A5274,Syphilis of liver and other viscera,CMR_LIVER_MLD
A5441,Gonococcal spondylopathy,CMR_AUTOIMMUNE
A5442,Gonococcal arthritis,CMR_AUTOIMMUNE
B180,Chronic viral hepatitis B with delta-agent,CMR_LIVER_MLD
B181,Chronic viral hepatitis B without delta-agent,CMR_LIVER_MLD
B182,Chronic viral hepatitis C,CMR_LIVER_MLD
B188,Other chronic viral hepatitis,CMR_LIVER_MLD
B189,"Chronic viral hepatitis, unspecified",CMR_LIVER_MLD
B190,Unspecified viral hepatitis with hepatic coma,CMR_LIVER_SEV
B1910,Unspecified viral hepatitis B without hepatic coma,CMR_LIVER_MLD
B1911,Unspecified viral hepatitis B with hepatic coma,CMR_LIVER_SEV
B1920,Unspecified viral hepatitis C without hepatic coma,CMR_LIVER_MLD
B1921,Unspecified viral hepatitis C with hepatic coma,CMR_LIVER_SEV
B199,Unspecified viral hepatitis without hepatic coma,CMR_LIVER_MLD
B20,Human immunodeficiency virus [HIV] disease,CMR_AIDS
B251,Cytomegaloviral hepatitis,CMR_LIVER_MLD
B3321,Viral endocarditis,CMR_VALVE
B376,Candidal endocarditis,CMR_VALVE
B581,Toxoplasma hepatitis,CMR_LIVER_MLD
C000,Malignant neoplasm of external upper lip,CMR_CANCER_SOLID
C001,Malignant neoplasm of external lower lip,CMR_CANCER_SOLID
C002,"Malignant neoplasm of external lip, unspecified",CMR_CANCER_SOLID
C003,"Malignant neoplasm of upper lip, inner aspect",CMR_CANCER_SOLID
C004,"Malignant neoplasm of lower lip, inner aspect",CMR_CANCER_SOLID
C005,"Malignant neoplasm of lip, unspecified, inner aspect",CMR_CANCER_SOLID
C006,"Malignant neoplasm of commissure of lip, unspecified",CMR_CANCER_SOLID
C008,Malignant neoplasm of overlapping sites of lip,CMR_CANCER_SOLID
C009,"Malignant neoplasm of lip, unspecified",CMR_CANCER_SOLID
C01,Malignant neoplasm of base of tongue,CMR_CANCER_SOLID
C020,Malignant neoplasm of dorsal surface of tongue,CMR_CANCER_SOLID
C021,Malignant neoplasm of border of tongue,CMR_CANCER_SOLID
C022,Malignant neoplasm of ventral surface of tongue,CMR_CANCER_SOLID
C023,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified",CMR_CANCER_SOLID
C024,Malignant neoplasm of lingual tonsil,CMR_CANCER_SOLID
C028,Malignant neoplasm of overlapping sites of tongue,CMR_CANCER_SOLID
C029,"Malignant neoplasm of tongue, unspecified",CMR_CANCER_SOLID
C030,Malignant neoplasm of upper gum,CMR_CANCER_SOLID
C031,Malignant neoplasm of lower gum,CMR_CANCER_SOLID
C039,"Malignant neoplasm of gum, unspecified",CMR_CANCER_SOLID
C040,Malignant neoplasm of anterior floor of mouth,CMR_CANCER_SOLID
C041,Malignant neoplasm of lateral floor of mouth,CMR_CANCER_SOLID
C048,Malignant neoplasm of overlapping sites of floor of mouth,CMR_CANCER_SOLID
C049,"Malignant neoplasm of floor of mouth, unspecified",CMR_CANCER_SOLID
C050,Malignant neoplasm of hard palate,CMR_CANCER_SOLID
C051,Malignant neoplasm of soft palate,CMR_CANCER_SOLID
C052,Malignant neoplasm of uvula,CMR_CANCER_SOLID
C058,Malignant neoplasm of overlapping sites of palate,CMR_CANCER_SOLID
C059,"Malignant neoplasm of palate, unspecified",CMR_CANCER_SOLID
C060,Malignant neoplasm of cheek mucosa,CMR_CANCER_SOLID
C061,Malignant neoplasm of vestibule of mouth,CMR_CANCER_SOLID
C062,Malignant neoplasm of retromolar area,CMR_CANCER_SOLID
C0680,Malignant neoplasm of overlapping sites of unspecified parts of mouth,CMR_CANCER_SOLID
C0689,Malignant neoplasm of overlapping sites of other parts of mouth,CMR_CANCER_SOLID
C069,"Malignant neoplasm of mouth, unspecified",CMR_CANCER_SOLID
C07,Malignant neoplasm of parotid gland,CMR_CANCER_SOLID
C080,Malignant neoplasm of submandibular gland,CMR_CANCER_SOLID
C081,Malignant neoplasm of sublingual gland,CMR_CANCER_SOLID
C089,"Malignant neoplasm of major salivary gland, unspecified",CMR_CANCER_SOLID
C090,Malignant neoplasm of tonsillar fossa,CMR_CANCER_SOLID
C091,Malignant neoplasm of tonsillar pillar (anterior) (posterior),CMR_CANCER_SOLID
C098,Malignant neoplasm of overlapping sites of tonsil,CMR_CANCER_SOLID
C099,"Malignant neoplasm of tonsil, unspecified",CMR_CANCER_SOLID
C100,Malignant neoplasm of vallecula,CMR_CANCER_SOLID
C101,Malignant neoplasm of anterior surface of epiglottis,CMR_CANCER_SOLID
C102,Malignant neoplasm of lateral wall of oropharynx,CMR_CANCER_SOLID
C103,Malignant neoplasm of posterior wall of oropharynx,CMR_CANCER_SOLID
C104,Malignant neoplasm of branchial cleft,CMR_CANCER_SOLID
C108,Malignant neoplasm of overlapping sites of oropharynx,CMR_CANCER_SOLID
C109,"Malignant neoplasm of oropharynx, unspecified",CMR_CANCER_SOLID
C110,Malignant neoplasm of superior wall of nasopharynx,CMR_CANCER_SOLID
C111,Malignant neoplasm of posterior wall of nasopharynx,CMR_CANCER_SOLID
C112,Malignant neoplasm of lateral wall of nasopharynx,CMR_CANCER_SOLID
C113,Malignant neoplasm of anterior wall of nasopharynx,CMR_CANCER_SOLID
C118,Malignant neoplasm of overlapping sites of nasopharynx,CMR_CANCER_SOLID
