icd_version,icd10_code
33,B900
33,B901
33,B902
33,B908
33,B909
33,B91
33,B92
33,B940
33,B941
33,B942
33,B948
33,B949
33,E640
33,E641
33,E642
33,E643
33,E648
33,E649
33,I252
33,I6900
33,I6901
33,I69020
33,I69021
33,I69022
33,I69023
33,I69028
33,I69031
33,I69032
33,I69033
33,I69034
33,I69039
33,I69041
33,I69042
33,I69043
33,I69044
33,I69049
33,I69051
33,I69052
33,I69053
33,I69054
33,I69059
33,I69061
33,I69062
33,I69063
33,I69064
33,I69065
33,I69069
33,I69090
33,I69091
33,I69092
33,I69093
33,I69098
33,I6910
33,I6911
33,I69120
33,I69121
33,I69122
33,I69123
33,I69128
33,I69131
33,I69132
33,I69133
33,I69134
33,I69139
33,I69141
33,I69142
33,I69143
33,I69144
33,I69149
33,I69151
33,I69152
33,I69153
33,I69154
33,I69159
33,I69161
33,I69162
33,I69163
33,I69164
33,I69165
33,I69169
33,I69190
33,I69191
33,I69192
33,I69193
33,I69198
33,I6920
33,I6921
33,I69220
33,I69221
33,I69222
33,I69223
33,I69228
33,I69231
33,I69232
33,I69233
33,I69234
33,I69239
33,I69241
33,I69242
33,I69243
33,I69244
33,I69249
33,I69251
33,I69252
33,I69253
33,I69254
33,I69259
33,I69261
33,I69262
33,I69263
33,I69264
33,I69265
33,I69269
33,I69290
33,I69291
33,I69292
33,I69293
33,I69298
33,I6930
33,I6931
33,I69320
33,I69321
33,I69322
33,I69323
33,I69328
33,I69331
33,I69332
33,I69333
33,I69334
33,I69339
33,I69341
33,I69342
33,I69343
33,I69344
33,I69349
33,I69351
33,I69352
33,I69353
33,I69354
33,I69359
33,I69361
33,I69362
33,I69363
33,I69364
33,I69365
33,I69369
33,I69390
33,I69391
33,I69392
33,I69393
33,I69398
33,I6980
33,I6981
33,I69820
33,I69821
33,I69822
33,I69823
33,I69828
33,I69831
33,I69832
33,I69833
33,I69834
33,I69839
33,I69841
33,I69842
33,I69843
33,I69844
33,I69849
33,I69851
33,I69852
33,I69853
33,I69854
33,I69859
33,I69861
33,I69862
33,I69863
33,I69864
33,I69865
33,I69869
33,I69890
33,I69891
33,I69892
33,I69893
33,I69898
33,I6990
33,I6991
33,I69920
33,I69921
33,I69922
33,I69923
33,I69928
33,I69931
33,I69932
33,I69933
33,I69934
33,I69939
33,I69941
33,I69942
33,I69943
33,I69944
33,I69949
33,I69951
33,I69952
33,I69953
33,I69954
33,I69959
33,I69961
33,I69962
33,I69963
33,I69964
33,I69965
33,I69969
33,I69990
33,I69991
33,I69992
33,I69993
33,I69998
33,O0900
33,O0901
33,O0902
33,O0903
33,O0910
33,O0911
33,O0912
33,O0913
33,O09211
33,O09212
33,O09213
33,O09219
33,O09291
33,O09292
33,O09293
33,O09299
33,O0930
33,O0931
33,O0932
33,O0933
33,O0940
33,O0941
33,O0942
33,O0943
33,O09511
33,O09512
33,O09513
33,O09519
33,O09521
33,O09522
33,O09523
33,O09529
33,O09611
33,O09612
33,O09613
33,O09619
33,O09621
33,O09622
33,O09623
33,O09629
33,O0970
33,O0971
33,O0972
33,O0973
33,O09811
33,O09812
33,O09813
33,O09819
33,O09821
33,O09822
33,O09823
33,O09829
33,O09891
33,O09892
33,O09893
33,O09899
33,O0990
33,O0991
33,O0992
33,O0993
33,O665
33,O80
33,O94
33,P000
33,P001
33,P002
33,P003
33,P004
33,P005
33,P006
33,P007
33,P0081
33,P0089
33,P009
33,Q000
33,Q001
33,Q002
33,Q010
33,Q011
33,Q012
33,Q018
33,Q019
33,Q02
33,Q030
33,Q031
33,Q038
33,Q039
33,Q040
33,Q041
33,Q042
33,Q043
33,Q044
33,Q045
33,Q046
33,Q048
33,Q049
33,Q050
33,Q051
33,Q052
33,Q053
33,Q054
33,Q055
33,Q056
33,Q057
33,Q058
33,Q059
33,Q060
33,Q061
33,Q062
33,Q063
33,Q064
33,Q068
33,Q069
33,Q0700
33,Q0701
33,Q0702
33,Q0703
33,Q078
33,Q079
33,Q100
33,Q101
33,Q102
33,Q103
33,Q104
33,Q105
33,Q106
33,Q107
33,Q110
33,Q111
33,Q112
33,Q113
33,Q120
33,Q121
33,Q122
33,Q123
33,Q124
33,Q128
33,Q129
33,Q130
33,Q131
33,Q132
33,Q133
33,Q134
33,Q135
33,Q1381
33,Q1389
33,Q139
33,Q140
33,Q141
33,Q142
33,Q143
33,Q148
33,Q149
33,Q150
33,Q158
33,Q159
33,Q160
33,Q161
33,Q162
33,Q163
33,Q164
33,Q165
33,Q169
33,Q170
33,Q171
33,Q172
33,Q173
33,Q174
33,Q175
33,Q178
33,Q179
33,Q180
33,Q181
33,Q182
33,Q183
33,Q184
33,Q185
33,Q186
33,Q187
33,Q188
33,Q189
33,Q200
33,Q201
33,Q202
33,Q203
33,Q204
33,Q205
33,Q206
33,Q208
33,Q209
33,Q210
33,Q211
33,Q212
33,Q213
33,Q214
33,Q218
33,Q219
33,Q220
33,Q221
33,Q222
33,Q223
33,Q224
33,Q225
33,Q226
33,Q228
33,Q229
33,Q230
33,Q231
33,Q232
33,Q233
33,Q234
33,Q238
33,Q239
33,Q240
33,Q241
33,Q242
33,Q243
33,Q244
33,Q245
33,Q246
33,Q248
33,Q249
33,Q250
33,Q251
33,Q252
33,Q253
33,Q254
33,Q255
33,Q256
33,Q2571
33,Q2572
33,Q2579
33,Q258
33,Q259
33,Q260
33,Q261
33,Q262
33,Q263
33,Q264
33,Q265
33,Q266
33,Q268
33,Q269
33,Q270
33,Q271
33,Q272
33,Q2730
33,Q2731
33,Q2732
33,Q2733
33,Q2734
33,Q2739
33,Q274
33,Q278
33,Q279
33,Q280
33,Q281
33,Q282
33,Q283
33,Q288
33,Q289
33,Q300
33,Q301
33,Q302
33,Q303
33,Q308
33,Q309
33,Q310
33,Q311
33,Q312
33,Q313
33,Q315
33,Q318
33,Q319
33,Q320
33,Q321
33,Q322
33,Q323
33,Q324
33,Q330
33,Q331
33,Q332
33,Q333
33,Q334
33,Q335
33,Q336
33,Q338
33,Q339
33,Q340
33,Q341
33,Q348
33,Q349
33,Q351
33,Q353
33,Q355
33,Q357
33,Q359
33,Q360
33,Q361
33,Q369
33,Q370
33,Q371
33,Q372
33,Q373
33,Q374
33,Q375
33,Q378
33,Q379
33,Q380
33,Q381
33,Q382
33,Q383
33,Q384
33,Q385
33,Q386
33,Q387
33,Q388
33,Q390
33,Q391
33,Q392
33,Q393
33,Q394
33,Q395
33,Q396
33,Q398
33,Q399
33,Q400
33,Q401
33,Q402
33,Q403
33,Q408
33,Q409
33,Q410
33,Q411
33,Q412
33,Q418
33,Q419
33,Q420
33,Q421
33,Q422
33,Q423
33,Q428
33,Q429
33,Q430
33,Q431
33,Q432
33,Q433
33,Q434
33,Q435
33,Q436
33,Q437
33,Q438
33,Q439
33,Q440
33,Q441
33,Q442
33,Q443
33,Q444
33,Q445
33,Q446
33,Q447
33,Q450
33,Q451
33,Q452
33,Q453
33,Q458
33,Q459
33,Q5001
33,Q5002
33,Q501
33,Q502
33,Q5031
33,Q5032
33,Q5039
33,Q504
33,Q505
33,Q506
33,Q510
33,Q5110
33,Q5111
33,Q512
33,Q513
33,Q514
33,Q515
33,Q516
33,Q517
33,Q51810
33,Q51811
33,Q51818
33,Q51820
33,Q51821
33,Q51828
33,Q519
33,Q520
33,Q5210
33,Q5211
33,Q5212
33,Q522
33,Q523
33,Q524
33,Q525
33,Q526
33,Q5270
33,Q5271
33,Q5279
33,Q528
33,Q529
33,Q5300
33,Q5301
33,Q5302
33,Q5310
33,Q5311
33,Q5312
33,Q5320
33,Q5321
33,Q5322
33,Q539
33,Q540
33,Q541
33,Q542
33,Q543
33,Q544
33,Q548
33,Q549
33,Q550
33,Q551
33,Q5520
33,Q5521
33,Q5522
33,Q5523
33,Q5529
33,Q553
33,Q554
33,Q555
33,Q5561
33,Q5562
33,Q5563
33,Q5564
33,Q5569
33,Q557
33,Q558
33,Q559
33,Q560
33,Q561
33,Q562
33,Q563
33,Q564
33,Q600
33,Q601
33,Q602
33,Q603
33,Q604
33,Q605
33,Q606
33,Q6100
33,Q6101
33,Q6102
33,Q6111
33,Q6119
33,Q612
33,Q613
33,Q614
33,Q615
33,Q618
33,Q619
33,Q620
33,Q6210
33,Q6211
33,Q6212
33,Q622
33,Q6231
33,Q6232
33,Q6239
33,Q624
33,Q625
33,Q6260
33,Q6261
33,Q6262
33,Q6263
33,Q6269
33,Q627
33,Q628
33,Q630
33,Q631
33,Q632
33,Q633
33,Q638
33,Q639
33,Q640
33,Q6410
33,Q6411
33,Q6412
33,Q6419
33,Q642
33,Q6431
33,Q6432
33,Q6433
33,Q6439
33,Q644
33,Q645
33,Q646
33,Q6470
33,Q6471
33,Q6472
33,Q6473
33,Q6474
33,Q6475
33,Q6479
33,Q648
33,Q649
33,Q6500
33,Q6501
33,Q6502
33,Q651
33,Q652
33,Q6530
33,Q6531
33,Q6532
33,Q654
33,Q655
33,Q656
33,Q6581
33,Q6582
33,Q6589
33,Q659
33,Q660
33,Q661
33,Q662
33,Q663
33,Q664
33,Q6650
33,Q6651
33,Q6652
33,Q666
33,Q667
33,Q6680
33,Q6681
33,Q6682
33,Q6689
33,Q669
33,Q670
33,Q671
33,Q672
33,Q673
33,Q674
33,Q675
33,Q676
33,Q677
33,Q678
33,Q680
33,Q681
33,Q682
33,Q683
33,Q684
33,Q685
33,Q686
33,Q688
33,Q690
33,Q691
33,Q692
33,Q699
33,Q7000
33,Q7001
33,Q7002
33,Q7003
33,Q7010
33,Q7011
33,Q7012
33,Q7013
33,Q7020
33,Q7021
33,Q7022
33,Q7023
33,Q7030
33,Q7031
33,Q7032
33,Q7033
33,Q704
33,Q709
33,Q7100
33,Q7101
33,Q7102
33,Q7103
33,Q7110
33,Q7111
33,Q7112
33,Q7113
33,Q7120
33,Q7121
33,Q7122
33,Q7123
33,Q7130
33,Q7131
33,Q7132
33,Q7133
33,Q7140
33,Q7141
33,Q7142
33,Q7143
33,Q7150
33,Q7151
33,Q7152
33,Q7153
33,Q7160
33,Q7161
33,Q7162
33,Q7163
33,Q71811
33,Q71812
33,Q71813
33,Q71819
33,Q71891
33,Q71892
33,Q71893
33,Q71899
33,Q7190
33,Q7191
33,Q7192
33,Q7193
33,Q7200
33,Q7201
33,Q7202
33,Q7203
33,Q7210
33,Q7211
33,Q7212
33,Q7213
33,Q7220
33,Q7221
33,Q7222
33,Q7223
33,Q7230
33,Q7231
33,Q7232
33,Q7233
33,Q7240
33,Q7241
33,Q7242
33,Q7243
33,Q7250
33,Q7251
33,Q7252
33,Q7253
33,Q7260
33,Q7261
33,Q7262
33,Q7263
33,Q7270
33,Q7271
33,Q7272
33,Q7273
33,Q72811
33,Q72812
33,Q72813
33,Q72819
33,Q72891
33,Q72892
33,Q72893
33,Q72899
33,Q7290
33,Q7291
33,Q7292
33,Q7293
33,Q730
33,Q731
33,Q738
33,Q740
33,Q741
33,Q742
33,Q743
33,Q748
33,Q749
33,Q750
33,Q751
33,Q752
33,Q753
33,Q754
33,Q755
33,Q758
33,Q759
33,Q760
33,Q761
33,Q762
33,Q763
33,Q76411
33,Q76412
33,Q76413
33,Q76414
33,Q76415
33,Q76419
33,Q76425
33,Q76426
33,Q76427
33,Q76428
33,Q76429
33,Q7649
33,Q765
33,Q766
33,Q767
33,Q768
33,Q769
33,Q770
33,Q771
33,Q772
33,Q773
33,Q774
33,Q775
33,Q776
33,Q777
33,Q778
33,Q779
33,Q780
33,Q781
33,Q782
33,Q783
33,Q784
33,Q785
33,Q786
33,Q788
33,Q789
33,Q790
33,Q791
33,Q792
33,Q793
33,Q794
33,Q7951
33,Q7959
33,Q796
33,Q798
33,Q799
33,Q800
33,Q801
33,Q802
33,Q803
33,Q804
33,Q808
33,Q809
33,Q810
33,Q811
33,Q812
33,Q818
33,Q819
33,Q820
33,Q821
33,Q822
33,Q823
33,Q824
33,Q825
33,Q828
33,Q829
33,Q830
33,Q831
33,Q832
33,Q833
33,Q838
33,Q839
33,Q840
33,Q841
33,Q842
33,Q843
33,Q844
33,Q845
33,Q846
33,Q848
33,Q849
33,Q8500
33,Q8501
33,Q8502
33,Q8503
33,Q8509
33,Q851
33,Q858
33,Q859
33,Q860
33,Q861
33,Q862
33,Q868
33,Q870
33,Q871
33,Q872
33,Q873
33,Q8740
33,Q87410
33,Q87418
33,Q8742
33,Q8743
33,Q875
33,Q8781
33,Q8789
33,Q8901
33,Q8909
33,Q891
33,Q892
33,Q893
33,Q894
33,Q897
33,Q898
33,Q899
33,Q900
33,Q901
33,Q902
33,Q909
33,Q910
33,Q911
