Variable,Label,DIAL,GRAFT_COMM,GRAFT_INST
F0_34," Female 0-34",0.618,0.196,0.848
F35_44," Female 35-44",0.567,0.219,1.061
F45_54," Female 45-54",0.522,0.256,0.992
F55_59," Female 55-59",0.535,0.306,1.014
F60_64," Female 60-64",0.553,0.36,1.017
F65_69," Female 65-69",0.635,0.291,1.212
F70_74," Female 70-74",0.653,0.35,1.12
F75_79," Female 75-79",0.658,0.406,0.988
F80_84," Female 80-84",0.671,0.48,0.861
F85_89," Female 85-89",0.671,0.59,0.78
F90_94," Female 90-94",0.671,0.724,0.651
F95_GT," Female 95+",0.671,0.737,0.484
M0_34," Male 0-34",0.527,0.067,1.055
M35_44," Male 35-44",0.502,0.076,0.956
M45_54," Male 45-54",0.478,0.149,0.924
M55_59," Male 55-59",0.495,0.226,0.971
M60_64," Male 60-64",0.498,0.297,1.013
M65_69," Male 65-69",0.562,0.274,1.267
M70_74," Male 70-74",0.611,0.353,1.306
M75_79," Male 75-79",0.634,0.425,1.295
M80_84," Male 80-84",0.652,0.499,1.188
M85_89," Male 85-89",0.663,0.625,1.101
M90_94," Male 90-94",0.663,0.775,0.969
M95_GT," Male 95+",0.663,0.914,0.799
ORIGDIS," Originally Disabled",,,0
OriginallyDisabled_Female," Originally Disabled Female",0,0.184,
OriginallyDisabled_Male," Originally Disabled Male",0,0.115,
Originally_ESRD_Female," Originally ESRD Female",-0.078,,
Originally_ESRD_Male," Originally ESRD Male",-0.049,,
MCAID,,,,0.074
MCAID_Female_Aged," Medicaid Female Aged",0.067,0.275,
MCAID_Female_NonAged," Medicaid Female NonAged",0.065,0.137,
MCAID_Male_Aged," Medicaid Male Aged",0.122,0.367,
MCAID_Male_NonAged," Medicaid Male NonAged",0.09,0.19,
HCC1," HIV/AIDS",0.154,0.35,1.708
HCC2," Septicemia/Sepsis/Systemic Inflammatory Response Syndrome/Shock",0.081,0.428,0.274
HCC6," Opportunistic Infections",0.052,0.426,0.568
HCC8," Metastatic Cancer and Acute Leukemia",0.295,2.627,1.289
HCC9," Lung and Other Severe Cancers",0.169,0.975,0.604
HCC10," Lymphoma and Other Cancers",0.136,0.668,0.451
HCC11," Colorectal/Bladder/and Other Cancers",0.076,0.298,0.284
HCC12," Breast/Prostate/and Other Cancers and Tumors",0.046,0.156,0.194
HCC17," Diabetes with Acute Complications",0.244,0.243,0.373
HCC18," Diabetes with Chronic Complications",0.091,0.243,0.373
HCC19," Diabetes without Complication",0.066,0.094,0.165
HCC21," Protein-Calorie Malnutrition",0.055,0.593,0.252
HCC22," Morbid Obesity",0.073,0.278,0.429
HCC23," Other Significant Endocrine and Metabolic Disorders",0.013,0.234,0.359
HCC27," End-Stage Liver Disease",0.204,1.028,0.863
HCC28," Cirrhosis of Liver",0.086,0.384,0.479
HCC29," Chronic Hepatitis",0.069,0.243,0.479
HCC33," Intestinal Obstruction/Perforation",0.072,0.285,0.346
HCC34," Chronic Pancreatitis",0.073,0.282,0.422
HCC35," Inflammatory Bowel Disease",0.053,0.362,0.341
HCC39," Bone/Joint/Muscle Infections/Necrosis",0.061,0.468,0.375
HCC40," Rheumatoid Arthritis and Inflammatory Connective Tissue Disease",0.072,0.398,0.274
HCC46," Severe Hematological Disorders",0.18,1.325,0.766
HCC47," Disorders of Immunity",0.097,0.688,0.549
HCC48," Coagulation Defects and Other Specified Hematological Disorders",0.059,0.234,0.173
HCC51," Dementia With Complications",0.097,0.643,0
HCC52," Dementia Without Complication",0.045,0.328,0
HCC54," Drug/Alcohol Psychosis",0.048,0.352,0.112
HCC55," Drug/Alcohol Dependence",0.048,0.352,0.112
HCC57," Schizophrenia",0.142,0.442,0.217
HCC58," Major Depressive/Bipolar/and Paranoid Disorders",0.091,0.26,0.217
HCC70," Quadriplegia",0.274,1.112,0.512
HCC71," Paraplegia",0.2,0.943,0.435
HCC72," Spinal Cord Disorders/Injuries",0.102,0.456,0.256
HCC73," Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease",0.117,1.03,0.446
HCC74," Cerebral Palsy",0.036,0,0
HCC75," Polyneuropathy",0.059,0.284,0.323
HCC76," Muscular Dystrophy",0.062,0.544,0.296
HCC77," Multiple Sclerosis",0.069,0.546,0
HCC78," Parkinsons and Huntingtons Diseases",0.065,0.583,0.141
HCC79," Seizure Disorders and Convulsions",0.066,0.221,0.065
HCC80," Coma/Brain Compression/Anoxic Damage",0.043,0.184,0
HCC82," Respirator Dependence/Tracheostomy Status",0.242,1.231,1.602
HCC83," Respiratory Arrest",0.114,0.54,0.466
HCC84," Cardio-Respiratory Failure and Shock",0.044,0.345,0.311
HCC85," Congestive Heart Failure",0.082,0.336,0.186
HCC86," Acute Myocardial Infarction",0.131,0.258,0.392
HCC87," Unstable Angina and Other Acute Ischemic Heart Disease",0.116,0.258,0.392
HCC88," Angina Pectoris",0.048,0.129,0.392
HCC96," Specified Heart Arrhythmias",0.093,0.303,0.247
HCC99," Cerebral Hemorrhage",0.078,0.252,0.105
HCC100," Ischemic or Unspecified Stroke",0.078,0.252,0.105
HCC103," Hemiplegia/Hemiparesis",0.086,0.467,0
HCC104," Monoplegia/Other Paralytic Syndromes",0.077,0.307,0
