interaction,var_1,var_2
SEPSIS_CARD_RESP_FAIL,SEPSIS,CARD_RESP_FAIL
CANCER_IMMUNE,CANCER,IMMUNE
DIABETES_CHF,DIABETES,CHF
CHF_COPD,CHF,COPD
CHF_RENAL,CHF,RENAL
COPD_CARD_RESP_FAIL,COPD,CARD_RESP_FAIL
SEPSIS_PRESSURE_ULCER,SEPSIS,PRESSURE_ULCER
SEPSIS_ARTIF_OPENINGS,SEPSIS,HCC188
ART_OPENINGS_PRESSURE_ULCER,HCC188,PRESSURE_ULCER
COPD_ASP_SPEC_BACT_PNEUM,COPD,HCC114
ASP_SPEC_BACT_PNEUM_PRES_ULC,HCC114,PRESSURE_ULCER
SEPSIS_ASP_SPEC_BACT_PNEUM,SEPSIS,HCC114
SCHIZOPHRENIA_COPD,HCC57,COPD
SCHIZOPHRENIA_CHF,HCC57,CHF
SCHIZOPHRENIA_SEIZURES,HCC57,HCC79
NONAGED_HCC6,DISABL,HCC6
NONAGED_HCC34,DISABL,HCC34
NONAGED_HCC46,DISABL,HCC46
NONAGED_HCC54,DISABL,HCC54
NONAGED_HCC55,DISABL,HCC55
NONAGED_HCC110,DISABL,HCC110
NONAGED_HCC176,DISABL,HCC176
NONAGED_HCC85,DISABL,HCC85
NONAGED_PRESSURE_ULCER,DISABL,PRESSURE_ULCER
NONAGED_HCC161,DISABL,HCC161
NONAGED_HCC39,DISABL,HCC39
NONAGED_HCC77,DISABL,HCC77
