Variable,Label,DIAL_NE
NMCAID_NORIGDIS_NEF0_34," Baseline -- Neither Medicaid nor Originally Disabled Female 0-34",0.793
NMCAID_NORIGDIS_NEF35_44," Baseline -- Neither Medicaid nor Originally Disabled Female 35-44",0.793
NMCAID_NORIGDIS_NEF45_54," Baseline -- Neither Medicaid nor Originally Disabled Female 45-54",0.877
NMCAID_NORIGDIS_NEF55_59," Baseline -- Neither Medicaid nor Originally Disabled Female 55-59",0.917
NMCAID_NORIGDIS_NEF60_64," Baseline -- Neither Medicaid nor Originally Disabled Female 60-64",0.975
NMCAID_NORIGDIS_NEF65_69," Baseline -- Neither Medicaid nor Originally Disabled Female 65-69",1.121
NMCAID_NORIGDIS_NEF70_74," Baseline -- Neither Medicaid nor Originally Disabled Female 70-74",1.191
NMCAID_NORIGDIS_NEF75_79," Baseline -- Neither Medicaid nor Originally Disabled Female 75-79",1.191
NMCAID_NORIGDIS_NEF80_84," Baseline -- Neither Medicaid nor Originally Disabled Female 80-84",1.221
NMCAID_NORIGDIS_NEF85_GT," Baseline -- Neither Medicaid nor Originally Disabled Female 85+",1.164
NMCAID_NORIGDIS_NEM0_34," Baseline -- Neither Medicaid nor Originally Disabled Male 0-34",0.700
NMCAID_NORIGDIS_NEM35_44," Baseline -- Neither Medicaid nor Originally Disabled Male 35-44",0.700
NMCAID_NORIGDIS_NEM45_54," Baseline -- Neither Medicaid nor Originally Disabled Male 45-54",0.759
NMCAID_NORIGDIS_NEM55_59," Baseline -- Neither Medicaid nor Originally Disabled Male 55-59",0.865
NMCAID_NORIGDIS_NEM60_64," Baseline -- Neither Medicaid nor Originally Disabled Male 60-64",0.905
NMCAID_NORIGDIS_NEM65_69," Baseline -- Neither Medicaid nor Originally Disabled Male 65-69",1.025
NMCAID_NORIGDIS_NEM70_74," Baseline -- Neither Medicaid nor Originally Disabled Male 70-74",1.127
NMCAID_NORIGDIS_NEM75_79," Baseline -- Neither Medicaid nor Originally Disabled Male 75-79",1.181
NMCAID_NORIGDIS_NEM80_84," Baseline -- Neither Medicaid nor Originally Disabled Male 80-84",1.175
NMCAID_NORIGDIS_NEM85_GT," Baseline -- Neither Medicaid nor Originally Disabled Male 85+",1.161
