Variable,Label,GRAFT_NE
ND_PBD_NORIGDIS_G_NEF0_34," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 0-34",0.705
ND_PBD_NORIGDIS_G_NEF35_44," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 35-44",0.942
ND_PBD_NORIGDIS_G_NEF45_54," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 45-54",1.145
ND_PBD_NORIGDIS_G_NEF55_59," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 55-59",1.142
ND_PBD_NORIGDIS_G_NEF60_64," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 60-64",1.202
ND_PBD_NORIGDIS_G_NEF65," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 65",0.527
ND_PBD_NORIGDIS_G_NEF66," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 66",0.527
ND_PBD_NORIGDIS_G_NEF67," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 67",0.553
ND_PBD_NORIGDIS_G_NEF68," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 68",0.579
ND_PBD_NORIGDIS_G_NEF69," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 69",0.619
ND_PBD_NORIGDIS_G_NEF70_74," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 70-74",0.688
ND_PBD_NORIGDIS_G_NEF75_79," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 75-79",0.893
ND_PBD_NORIGDIS_G_NEF80_84," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 80-84",0.98
ND_PBD_NORIGDIS_G_NEF85_89," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 85-89",1.275
ND_PBD_NORIGDIS_G_NEF90_94," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 90-94",1.275
ND_PBD_NORIGDIS_G_NEF95_GT," NonDual or Partial Benefit Dual -- Not Originally Disabled Female 95+",1.275
ND_PBD_NORIGDIS_G_NEM0_34," NonDual or Partial Benefit Dual -- Not Originally Disabled Male 0-34",0.405
ND_PBD_NORIGDIS_G_NEM35_44," NonDual or Partial Benefit Dual -- Not Originally Disabled Male 35-44",0.663
ND_PBD_NORIGDIS_G_NEM45_54," NonDual or Partial Benefit Dual -- Not Originally Disabled Male 45-54",0.898
